CUSTOMER_ID,SEGMENT,REGISTRATION_DATE,REGION
CUST_00001,Standard,2022-05-23,West
CUST_00002,Standard,2023-06-28,West
CUST_00003,Basic,2022-11-29,North
CUST_00004,Premium,2023-04-23,West
CUST_00005,Premium,2023-02-04,East
CUST_00006,Basic,2022-03-09,West
CUST_00007,Standard,2023-03-05,North
CUST_00008,Standard,2023-03-08,West
CUST_00009,Basic,2023-07-09,North
CUST_00010,Basic,2023-07-26,East
CUST_00011,Premium,2022-02-02,East
CUST_00012,Basic,2023-05-28,East
CUST_00013,Premium,2023-07-09,East
CUST_00014,Standard,2023-04-25,South
CUST_00015,Basic,2023-12-29,West
CUST_00016,Basic,2023-04-01,West
CUST_00017,Basic,2022-07-23,East
CUST_00018,Premium,2022-10-06,South
CUST_00019,Basic,2023-05-24,West
CUST_00020,Basic,2022-04-04,South
CUST_00021,Basic,2023-04-05,South
CUST_00022,Basic,2023-06-16,South
CUST_00023,Basic,2022-06-26,West
CUST_00024,Basic,2022-09-18,West
CUST_00025,Standard,2022-11-07,East
CUST_00026,Premium,2023-01-25,South
CUST_00027,Standard,2023-10-14,North
CUST_00028,Basic,2022-09-19,West
CUST_00029,Basic,2022-01-13,South
CUST_00030,Basic,2022-07-16,West
CUST_00031,Basic,2022-01-31,West
CUST_00032,Standard,2022-08-20,North
CUST_00033,Basic,2023-12-20,South
CUST_00034,Standard,2023-02-25,North
CUST_00035,Standard,2023-05-10,West
CUST_00036,Premium,2023-02-18,North
CUST_00037,Basic,2023-02-08,South
CUST_00038,Standard,2022-08-25,East
CUST_00039,Standard,2022-04-19,West
CUST_00040,Standard,2022-02-18,South
CUST_00041,Basic,2022-12-15,North
CUST_00042,Basic,2023-05-09,South
CUST_00043,Basic,2023-08-08,South
CUST_00044,Standard,2022-07-24,North
CUST_00045,Basic,2023-01-24,North
CUST_00046,Basic,2023-11-18,North
CUST_00047,Standard,2023-04-10,West
CUST_00048,Basic,2023-06-30,North
CUST_00049,Basic,2022-04-30,West
CUST_00050,Standard,2022-11-28,West
CUST_00051,Premium,2022-01-28,North
CUST_00052,Basic,2023-07-31,North
CUST_00053,Basic,2022-02-27,West
CUST_00054,Standard,2023-04-06,South
CUST_00055,Standard,2023-10-25,West
CUST_00056,Standard,2023-03-27,East
CUST_00057,Standard,2022-03-19,East
CUST_00058,Standard,2023-11-03,South
CUST_00059,Basic,2022-07-25,North
CUST_00060,Premium,2022-10-08,North
CUST_00061,Basic,2023-02-23,North
CUST_00062,Premium,2022-11-26,South
CUST_00063,Basic,2022-01-20,North
CUST_00064,Basic,2023-09-01,North
CUST_00065,Basic,2023-10-02,North
CUST_00066,Standard,2023-11-29,South
CUST_00067,Standard,2022-12-09,West
CUST_00068,Standard,2022-08-28,North
CUST_00069,Standard,2022-02-23,East
CUST_00070,Basic,2023-01-11,West
CUST_00071,Basic,2022-07-04,North
CUST_00072,Standard,2022-01-26,West
CUST_00073,Basic,2023-04-01,North
CUST_00074,Standard,2023-11-19,North
CUST_00075,Basic,2023-02-09,East
CUST_00076,Standard,2022-06-21,South
CUST_00077,Standard,2022-03-04,North
CUST_00078,Basic,2022-05-23,North
CUST_00079,Standard,2023-11-27,East
CUST_00080,Basic,2023-08-13,South
CUST_00081,Basic,2022-07-15,North
CUST_00082,Basic,2022-07-17,North
CUST_00083,Standard,2023-04-09,West
CUST_00084,Basic,2022-10-21,South
