ORDER_ID,CUSTOMER_ID,ORDER_DATE,ORDER_AMOUNT,STATUS
ORD_000001,CUST_00001,2024-05-14,305.48,FULFILLED
ORD_000002,CUST_00001,2024-02-18,232.63,FULFILLED
ORD_000003,CUST_00001,2024-02-27,223.05,FULFILLED
ORD_000004,CUST_00001,2024-02-18,171.5,FULFILLED
ORD_000005,CUST_00001,2024-01-29,194.7,FULFILLED
ORD_000006,CUST_00001,2024-03-05,257.27,RETURNED
ORD_000007,CUST_00001,2024-04-11,242.23,FULFILLED
ORD_000008,CUST_00001,2024-11-03,210.84,FULFILLED
ORD_000009,CUST_00001,2024-09-06,246.7,FULFILLED
ORD_000010,CUST_00001,2024-09-23,236.01,FULFILLED
ORD_000011,CUST_00001,2024-08-31,211.55,CANCELLED
ORD_000012,CUST_00001,2024-09-13,150.81,FULFILLED
ORD_000013,CUST_00002,2024-03-05,303.93,RETURNED
ORD_000014,CUST_00002,2024-05-10,240.45,FULFILLED
ORD_000015,CUST_00002,2024-03-24,265.84,FULFILLED
ORD_000016,CUST_00002,2024-01-17,280.48,CANCELLED
ORD_000017,CUST_00002,2024-02-29,235.94,FULFILLED
ORD_000018,CUST_00002,2024-03-19,215.67,FULFILLED
ORD_000019,CUST_00002,2024-09-25,257.37,CANCELLED
ORD_000020,CUST_00002,2024-07-04,227.34,FULFILLED
ORD_000021,CUST_00002,2024-08-25,262.23,FULFILLED
ORD_000022,CUST_00002,2024-11-26,303.69,FULFILLED
ORD_000023,CUST_00002,2024-10-24,238.02,FULFILLED
ORD_000024,CUST_00003,2024-04-30,77.85,FULFILLED
ORD_000025,CUST_00003,2024-01-27,94.95,FULFILLED
ORD_000026,CUST_00003,2024-05-14,81.63,FULFILLED
ORD_000027,CUST_00003,2024-01-07,102.6,FULFILLED
ORD_000028,CUST_00003,2024-02-15,96.52,FULFILLED
ORD_000029,CUST_00004,2024-03-18,84.15,FULFILLED
ORD_000030,CUST_00004,2024-02-21,89.03,FULFILLED
ORD_000031,CUST_00004,2024-03-14,160.68,CANCELLED
ORD_000032,CUST_00004,2024-03-21,82.53,FULFILLED
ORD_000033,CUST_00004,2024-01-26,84.68,FULFILLED
ORD_000034,CUST_00004,2024-03-19,109.22,FULFILLED
ORD_000035,CUST_00004,2024-03-13,88.74,FULFILLED
ORD_000036,CUST_00004,2024-07-15,146.47,CANCELLED
ORD_000037,CUST_00004,2024-10-29,132.27,FULFILLED
ORD_000038,CUST_00004,2024-07-25,147.16,FULFILLED
ORD_000039,CUST_00004,2024-11-21,103.87,FULFILLED
ORD_000040,CUST_00004,2024-08-26,62.33,FULFILLED
ORD_000041,CUST_00005,2024-01-05,272.56,CANCELLED
ORD_000042,CUST_00005,2024-06-12,174.31,FULFILLED
ORD_000043,CUST_00005,2024-10-25,191.48,FULFILLED
ORD_000044,CUST_00006,2024-05-30,211.85,FULFILLED
ORD_000045,CUST_00006,2024-01-16,117.82,FULFILLED
ORD_000046,CUST_00006,2024-05-01,221.84,FULFILLED
ORD_000047,CUST_00006,2024-02-16,196.51,FULFILLED
ORD_000048,CUST_00006,2024-03-14,113.99,CANCELLED
ORD_000049,CUST_00006,2024-03-13,163.01,FULFILLED
ORD_000050,CUST_00006,2024-05-03,171.75,FULFILLED
ORD_000051,CUST_00006,2024-11-24,134.04,FULFILLED
ORD_000052,CUST_00006,2024-08-04,164.69,FULFILLED
ORD_000053,CUST_00006,2024-08-30,147.8,FULFILLED
ORD_000054,CUST_00006,2024-10-12,136.82,FULFILLED
ORD_000055,CUST_00006,2024-07-16,162.66,FULFILLED
ORD_000056,CUST_00007,2024-04-04,208.55,RETURNED
ORD_000057,CUST_00007,2024-02-22,87.58,CANCELLED
ORD_000058,CUST_00007,2024-01-16,133.87,RETURNED
ORD_000059,CUST_00007,2024-02-12,129.23,CANCELLED
ORD_000060,CUST_00007,2024-03-01,177.34,FULFILLED
ORD_000061,CUST_00008,2024-06-02,174.6,FULFILLED
ORD_000062,CUST_00009,2024-05-17,77.92,RETURNED
ORD_000063,CUST_00009,2024-05-16,98.28,RETURNED
ORD_000064,CUST_00009,2024-02-17,70.14,RETURNED
ORD_000065,CUST_00010,2024-01-15,239.13,CANCELLED
ORD_000066,CUST_00010,2024-03-11,254.99,FULFILLED
ORD_000067,CUST_00010,2024-01-18,250.9,RETURNED
ORD_000068,CUST_00010,2024-04-25,264.07,CANCELLED
ORD_000069,CUST_00010,2024-08-31,255.95,FULFILLED
ORD_000070,CUST_00010,2024-09-20,164.26,FULFILLED
ORD_000071,CUST_00010,2024-07-06,345.97,CANCELLED
ORD_000072,CUST_00011,2024-01-02,150.67,FULFILLED
ORD_000073,CUST_00011,2024-01-31,147.06,FULFILLED
ORD_000074,CUST_00011,2024-03-29,205.63,CANCELLED
ORD_000075,CUST_00011,2024-05-24,199.13,FULFILLED
ORD_000076,CUST_00011,2024-01-18,182.07,FULFILLED
ORD_000077,CUST_00011,2024-05-01,163.36,FULFILLED
ORD_000078,CUST_00011,2024-03-19,221.13,FULFILLED
ORD_000079,CUST_00011,2024-10-03,163.52,FULFILLED
ORD_000080,CUST_00011,2024-11-07,150.06,RETURNED
ORD_000081,CUST_00011,2024-09-10,133.88,CANCELLED
ORD_000082,CUST_00011,2024-09-20,126.11,FULFILLED
ORD_000083,CUST_00011,2024-07-31,121.36,FULFILLED
ORD_000084,CUST_00012,2024-01-30,189.04,CANCELLED
ORD_000085,CUST_00012,2024-01-31,190.6,FULFILLED
ORD_000086,CUST_00012,2024-03-23,161.57,FULFILLED
ORD_000087,CUST_00012,2024-01-27,221.48,FULFILLED
ORD_000088,CUST_00012,2024-03-07,203.1,CANCELLED
ORD_000089,CUST_00012,2024-04-14,213.4,FULFILLED
ORD_000090,CUST_00012,2024-04-05,228.54,FULFILLED
ORD_000091,CUST_00012,2024-11-10,224.93,FULFILLED
ORD_000092,CUST_00012,2024-07-14,183.22,FULFILLED
ORD_000093,CUST_00012,2024-09-06,232.47,RETURNED
